Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
DVA,16030000000,7/20/2016,4:02 PM,0.35%,838267,943990
DE,26020000000,7/20/2016,4:01 PM,-0.54%,2282033,3148030
DLPH,18630000000,7/20/2016,4:02 PM,2.28%,1475783,2179320
DAL,30480000000,7/20/2016,4:00 PM,-0.79%,9529810,11904700
XRAY,14810000000,7/20/2016,4:00 PM,0.67%,822657,1574480
DVN,19890000000,7/20/2016,4:02 PM,0.56%,6025781,9161800
DO,3320000000,7/20/2016,4:02 PM,-0.53%,2063056,2189750
DLR,15400000000,7/20/2016,4:04 PM,-1.06%,1572946,2178000
DFS,23210000000,7/20/2016,4:02 PM,-1.19%,3901350,3148800
DISCA,10840000000,7/20/2016,4:00 PM,0.56%,2388044,3706900
DISCK,10490000000,7/20/2016,4:00 PM,0.16%,1706418,1947570
DG,26620000000,7/20/2016,4:02 PM,0.72%,1680899,2618200
DLTR,22490000000,7/20/2016,4:00 PM,0.09%,1496569,2160500
D,47630000000,7/20/2016,4:01 PM,-0.68%,1405234,2724950
DOV,11330000000,7/20/2016,4:02 PM,0.11%,1588417,1347640
DOW,59450000000,7/20/2016,4:00 PM,1.13%,4543237,7078780
DPS,18170000000,7/20/2016,4:01 PM,-0.07%,1216065,1121170
DTE,17500000000,7/20/2016,4:01 PM,-0.53%,366122,876786
DD,59120000000,7/20/2016,4:01 PM,0.28%,1623208,3213850
DUK,58500000000,7/20/2016,4:01 PM,-0.54%,2114535,3162620
DNB,4700000000,7/20/2016,4:00 PM,1.34%,233669,291529
ETFC,7120000000,7/20/2016,4:00 PM,2.17%,2398389,3335070
EMN,10630000000,7/20/2016,4:02 PM,0.70%,879127,1291510
ETN,29080000000,7/20/2016,4:01 PM,0.71%,1689030,2330410
EBAY,31010000000,7/20/2016,4:00 PM,1.85%,25102900,10416700
ECL,35210000000,7/20/2016,4:02 PM,-0.09%,836144,1106190
EIX,24930000000,7/20/2016,4:02 PM,-0.78%,869074,1649510
EW,22600000000,7/20/2016,4:02 PM,0.76%,1060291,1673950
EA,23130000000,7/20/2016,4:00 PM,0.26%,5475677,3491920
EMC,55020000000,7/20/2016,4:01 PM,0.21%,14100615,12511600
EMR,36140000000,7/20/2016,4:00 PM,-0.28%,3665229,3605310
ENDP,4020000000,7/20/2016,4:00 PM,3.38%,3878638,10123700
ETR,14290000000,7/20/2016,4:02 PM,-0.53%,787622,1414010
