Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,G1A,GEA GROUP AG,Industrials,,Germany,51.165691,10.451526
,BEI,BEIERSDORF AG,Consumer Staples,,Germany,51.165691,10.451526
,BAER,JULIUS BAER GRUPPE AG,Financials,,Switzerland,46.818188,8.227512
,UU,UNITED UTILITIES GROUP PLC,Utilities,,United Kingdom,55.378051,-3.435973
,WTB,WHITBREAD PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,HO,THALES SA,Industrials,,France,46.227638,2.213749
,BLND,BRITISH LAND COMPANY THE REIT PLC,Financials,,United Kingdom,55.378051,-3.435973
,FER,FERROVIAL SA,Industrials,,Spain,40.463667,-3.74922
,LI,KLEPIERRE REIT SA,Financials,,France,46.227638,2.213749
,EDP,ENERGIAS DE PORT SA,Utilities,,Portugal,39.399872,-8.224454
,CPI,CAPITA PLC,Industrials,,United Kingdom,55.378051,-3.435973
,TIT,TELECOM ITALIA,Telecommunication Services,,Italy,41.87194,12.56738
,SY1,SYMRISE AG,Materials,,Germany,51.165691,10.451526
,RMS,HERMES INTERNATIONAL,Consumer Discretionary,,France,46.227638,2.213749
,RWE,RWE AG,Utilities,,Germany,51.165691,10.451526
,COLOB,COLOPLAST,Health Care,,Denmark,56.26392,9.501785
,MAERSK,A P MOLLER MAERSK,Industrials,,Denmark,56.26392,9.501785
,SKA,SKANSKA,Industrials,,Sweden,60.128161,18.643501
,DSV,DSV A/S,Industrials,,Denmark,56.26392,9.501785
,JMAT,JOHNSON MATTHEY PLC,Materials,,United Kingdom,55.378051,-3.435973
,IHG,INTERCONTINENTAL HOTELS GROUP PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,PAH3,PORSCHE AUTOMOBIL HOLDING SE,Consumer Discretionary,,Germany,51.165691,10.451526
,SCHP,SCHINDLER HOLDING PAR AG,Industrials,,Switzerland,46.818188,8.227512
,AHT,ASHTEAD GROUP PLC,Industrials,,United Kingdom,55.378051,-3.435973
,III,3I GROUP PLC,Financials,,United Kingdom,55.378051,-3.435973
,UHR,SWATCH GROUP SA,Consumer Discretionary,,Switzerland,46.818188,8.227512
,RBS,ROYAL BANK OF SCOTLAND GROUP PLC,Financials,,United Kingdom,55.378051,-3.435973
,KNIN,KUEHNE & NAGEL AG,Industrials,,Switzerland,46.818188,8.227512
,BNR,BRENNTAG AG,Industrials,,Germany,51.165691,10.451526
,EBS,ERSTE GROUP BANK AG,Financials,,Austria,47.516231,14.550072
,DCC,DCC PLC,Industrials,,United Kingdom,55.378051,-3.435973
,SVT,SEVERN TRENT PLC,Utilities,,United Kingdom,55.378051,-3.435973
,BRBY,BURBERRY GROUP PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,ITRK,INTERTEK GROUP PLC,Industrials,,United Kingdom,55.378051,-3.435973
,SESG,SES SA FDR SA,Consumer Discretionary,,France,46.227638,2.213749
,SL.,STANDARD LIFE PLC,Financials,,United Kingdom,55.378051,-3.435973
,HEIO,HEINEKEN HOLDING NV,Consumer Staples,,Netherlands,52.132633,5.291266
,AC,ACCOR SA,Consumer Discretionary,,France,46.227638,2.213749
,ABE,ABERTIS INFRAESTRUCTURAS SA,Industrials,,Spain,40.463667,-3.74922
,TRN,TERNA RETE ELETTRICA NAZIONALE,Utilities,,Italy,41.87194,12.56738
,ORK,ORKLA ASA,Consumer Staples,,Norway,60.472024,8.468946
,GAS,GAS NATURAL SA,Utilities,,Spain,40.463667,-3.74922
,FUM1V,FORTUM,Utilities,,Finland,61.92411,25.748151
,RYAAY,RYANAIR HOLDINGS ADR REPRESENTING,Industrials,,Ireland,53.41291,-8.24389
,SOLB,SOLVAY SA,Materials,,Belgium,50.503887,4.469936
,SLHN,SWISS LIFE HOLDING AG,Financials,,Switzerland,46.818188,8.227512
,CNHI,CNH INDUSTRIAL NV,Industrials,,Italy,41.87194,12.56738
,SAB,BANCO DE SABADELL SA,Financials,,Spain,40.463667,-3.74922
,UG,PEUGEOT SA,Consumer Discretionary,,France,46.227638,2.213749
,AGS,AGEAS SA,Financials,,Belgium,50.503887,4.469936
,MKS,MARKS & SPENCER GROUP PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,GKN,GKN PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,GBLB,GROUPE BRUXELLES LAMBERT SA,Financials,,Belgium,50.503887,4.469936
,SWMA,SWEDISH MATCH AB,Consumer Staples,,Sweden,60.128161,18.643501
,PSN,PERSIMMON PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,TEC,TECHNIP SA,Energy,,France,46.227638,2.213749
,RSA,RSA INSURANCE GROUP PLC,Financials,,United Kingdom,55.378051,-3.435973
,LUX,LUXOTTICA GROUP,Consumer Discretionary,,Italy,41.87194,12.56738
,WRT1V,WARTSILA,Industrials,,Finland,61.92411,25.748151
,TW.,TAYLOR WIMPEY PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,SMIN,SMITHS GROUP PLC,Industrials,,United Kingdom,55.378051,-3.435973
,CBK,COMMERZBANK AG,Financials,,Germany,51.165691,10.451526
,ELUX,ELECTROLUX,Consumer Discretionary,,Sweden,60.128161,18.643501
,BAB,BABCOCK INTERNATIONAL GROUP PLC,Industrials,,United Kingdom,55.378051,-3.435973
,ENG,ENAGAS SA,Utilities,,Spain,40.463667,-3.74922
,DLG,DIRECT LINE INSURANCE PLC,Financials,,United Kingdom,55.378051,-3.435973
,TEN,TENARIS SA,Energy,,Italy,41.87194,12.56738
,FCA,FIAT CHRYSLER AUTOMOBILES NV,Consumer Discretionary,,Italy,41.87194,12.56738
,AKE,ARKEMA,Materials,,France,46.227638,2.213749
,KINV,KINNEVIK,Financials,,Sweden,60.128161,18.643501
,CHR,CHR HANSEN HOLDING,Materials,,Denmark,56.26392,9.501785
,CABK,CAIXABANK SA,Financials,,Spain,40.463667,-3.74922
,SKF,SKF,Industrials,,Sweden,60.128161,18.643501
,BOL,BOLIDEN,Materials,,Sweden,60.128161,18.643501
,BIR,BANK OF IRELAND STK EUR0.64,Financials,,Ireland,53.41291,-8.24389
,AGN,AEGON NV,Financials,,Netherlands,52.132633,5.291266
,EN,BOUYGUES SA,Industrials,,France,46.227638,2.213749
,MRW,MORRISON(WM.)SUPERMARKETS PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,GTO,GEMALTO NV,Information Technology,,Netherlands,52.132633,5.291266
,YAR,YARA INTERNATIONAL ASA,Materials,,Norway,60.472024,8.468946
,HMSO,HAMMERSON REIT PLC,Financials,,United Kingdom,55.378051,-3.435973
,BDEV,BARRATT DEVELOPMENTS PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,NHY,NORSK HYDRO ASA,Materials,,Norway,60.472024,8.468946
,GALP,GALP ENERGIA SGPS S/A,Energy,,Portugal,39.399872,-8.224454
,RACE,FERRARI NV,Consumer Discretionary,,Italy,41.87194,12.56738
,BALN,BALOISE-HOLDING AG,Financials,,Switzerland,46.818188,8.227512
,ACS,ACTIVIDADES DE CONSTRUCCION Y SERV,Industrials,,Spain,40.463667,-3.74922
,SK3,SMURFIT KAPPA GROUP PLC,Materials,,Ireland,53.41291,-8.24389
,UMI,UMICORE NV,Materials,,Belgium,50.503887,4.469936
